strongly concerning	Now I know why people can't get out of the darkness. 
strongly concerning	I can't. You can't rewrite the past.
strongly concerning	The darkness filled my heart. 
possibly concerning	I already buy the pills. Is there anybody who cares? 
possibly concerning	His ego is quite depressing. 
safe to ignore	i feel horrible for ever thinking about commiting suicide because tonight showed me that atleast person will care
possibly concerning	"Been down lately, I feel so frickin sad. "
strongly concerning	"I guess, this is really the end of my journey. I hope you'll never forget me. "
safe to ignore	They hired her after that? What a scumbag. 
possibly concerning	Does being bipolar leads to depression. I hope someone explain. 
strongly concerning	" Call me an attention seeker whatever i just dont wanna live anymore, bye."
strongly concerning	"This world sucks, I want to quit this life. "
safe to ignore	Bless my countrymen.
strongly concerning	How I wish I wasnt born in this world. 
strongly concerning	"I wish I could die more then to show you how sorry I am. Sorry for my real sins, not to the sins I was blamed for which I am innocent af."
safe to ignore	"So I always read the tweets of Pope Francis, he gave me hope. "
safe to ignore	I wonder why people became lazier nowadays. 
safe to ignore	I miss when we were all together and had fun i hate this. You all blame me but i tried my best and it wasn't good enough for you. Sorry
strongly concerning	 I already took the pills and i have an empty stomach so its gonna kill me. 
possibly concerning	When reality strikes in this fuckin life. 
safe to ignore	You should learn how to gumble renny. 
strongly concerning	Its a Christmas you will never forget coz you'll find your partners body on the body.
strongly concerning	call me an attention seeker whatever i just don't wanna live anymore. bye
possibly concerning	I'm scared to go to school because i'll get bullied
strongly concerning	I saw the sadness in my mom's eyes a while ago but I guess I'll add with that sadness.  I'm really sorry. 
safe to ignore	When people hesitate to do dumbass stuff. 
strongly concerning	That case was so miserable and I saw it with my bare eyes. 
strongly concerning	" I tried commiting suicide today. Never doing that shit again, i almost killed myself."
strongly concerning	I have no reason to live. 
safe to ignore	We go to National Parks yesterday. I really had fun. Thanks mom and dad. 
possibly concerning	Stupid people. 
strongly concerning	Someone must let me out of the darkness. 
safe to ignore	I hope y'all learn how to respect other people. 
strongly concerning	Row your boat gently off the cliff I hope you break your neck and die.
possibly concerning	I hope he'll realize his fault. 
strongly concerning	"What if the only way not to feel bad is to stop feeling, anything at all forever."
strongly concerning	This damn whole life is a fuck. 
strongly concerning	Everyone cares when it's too late
safe to ignore	Freaks. 
strongly concerning	"Fuck everything. Fuck this world, I want to d**"
strongly concerning	Dreamt I died in Chicago next weekend (heart attack in my sleep). I need to write my will. 
strongly concerning	I wonder why I have no purpose in this shitty world. Death is better. 
safe to ignore	"She's the most uneducated person I've encountered in my whole life, please teach her lessons bruh."
strongly concerning	"This is real, it isn't a gamble or a game. Its just one life. "
strongly concerning	I hope theres a new world between those edges. 
strongly concerning	I wish they forgave me completely. I wish I had to leave longer. 
strongly concerning	" Life has a funny way  of everything fucking up. But more like  ""I wanna die"" type funny."
safe to ignore	How much for my dream of a world where money doesn't equal happiness.
possibly concerning	Well thats the story of how i became who i am. Well the condensed version.
safe to ignore	People are sucking annoying this days. 
possibly concerning	"Anyway, I look so stupid and stress. "
strongly concerning	You don't need to cry when I'm gone. Please smile cause its my choice. 
strongly concerning	I'm so hurt. I know I need to be strong. 
safe to ignore	I wonder why he remove the necklace I bought. Am I not enough? 
strongly concerning	I love you Rena but this is my end. 
safe to ignore	She said she was scared but she's laughing like what the hell? 
possibly concerning	"For a moment, I need to meditate and take all stress away."
safe to ignore	Stop saying the boys will care I know they wont.
possibly concerning	Disabled persons also need to be respected. This is racist. 
strongly concerning	Fucking weak. One pill at a time.
strongly concerning	Nobody needs to save me right now. 
safe to ignore	I don't know why Bill is mad at me? Did I do something wrong? Ugh. 
strongly concerning	He lied to me. I feel like I'm not important anymore.
possibly concerning	Fuck all this bullshit people. 
strongly concerning	Being able to survive once is enough. 
safe to ignore	Trump and his manners are going under my skin.
possibly concerning	 Depressed
strongly concerning	I'm commiting suicide tonight. Please don't even dare to intervene. 
strongly concerning	i'm gonna die anyways why not do it now
strongly concerning	I wish I could die.
strongly concerning	I am going to send a live feed of me hanging myself. No one cares if i die or not
safe to ignore	Carrey misinterpret me. 
possibly concerning	"I'm done, this is my suicide note bye"
safe to ignore	That was the biggest surprise of my life. 
safe to ignore	American citizens should unite this time. This leadership s u c k s. 
possibly concerning	 The only thing george wanted to do is to die.
strongly concerning	I wonder why tears are salty. 
strongly concerning	I want to be dead and when he leaves for university i probably will be
safe to ignore	I'm sorry.
possibly concerning	Sheading tears is the easiest way to relive pain. 
strongly concerning	Goodbye everyone. I'm sorry to those I have hurt. 
strongly concerning	"But I dont think I can hold on anymore, Its too tiring. "
safe to ignore	I feel like I lost all my shit because of that shot. 
safe to ignore	Hoping for a better day.
strongly concerning	Struggling on everything right now. 
safe to ignore	Poison like dirty money. 
safe to ignore	Fake people should be the one to shed tears. 
strongly concerning	"This is too much, I cant take this anymore."
strongly concerning	"So I watch Romeo and Juliet a while ago, thanks to that film I know now how to end my own life"
possibly concerning	I never had any thought of killing myself until now & no it's not because of maggie. it is because of all the unnecessary hate i get. i'm sick of it
strongly concerning	This is the end. 
strongly concerning	" I'm gonna die anyways, why not do it now?"
safe to ignore	Happy birthday Donald Trump!
strongly concerning	I'm not important. 
possibly concerning	So sick & tired of being humble
strongly concerning	Ever created them. Thank God for my mother and bro-willteg. Man would have created suicide right before this day. Im at the point where I mean I'm already fucked up for real. My family and relatives have been a whole bunch of ducks up creations. I'm just wondering why God.
strongly concerning	"Never felt so heartbroken, low in my whole life. On topped of that its been rubbed in front of my face."
strongly concerning	Call the cops if ever you find my body inside the hall.
possibly concerning	This dumbass life. 
safe to ignore	"Oh my god, my eyebags are getting worse. Sos. "
strongly concerning	I'm gonna end it all here. 
safe to ignore	Someone need to tech them the right characters. 
strongly concerning	 I'm gonna attempt suicide tonight. Bye Everyone. 
strongly concerning	It's all bad y'all *puts finger around trigger*
possibly concerning	"Nothing is at it seems, everything is fucked up"
possibly concerning	Nothing will get better.
safe to ignore	"Maddy, please don't be trap in someone's else dream. "
possibly concerning	I wonder why tears are salty? 
possibly concerning	 I'm not important.
strongly concerning	Their expectations are so suffocating. 
strongly concerning	Now I'm on so may pills that I feel a bit better although it still bothers me everyday. 
strongly concerning	" Bye guys, I didnt mean to screw up so much and ruin everything"
possibly concerning	I shed tears. 
possibly concerning	"Annnd, my day is ruined"
safe to ignore	Lots of love. The singing Greek. 
strongly concerning	I really can't leave to see their anger and the disgrace. 
safe to ignore	I hate feeling this way so i might just get it over with because i hate life
strongly concerning	"Someone will commit suicide at school, don't dare to call the cops. "
strongly concerning	I wish i was dead simple as life couldn't get any worse
possibly concerning	There's no such things as true love. Stop acting like it'll happen to you. 
possibly concerning	It's so stupid to act like you don't know your fault. 
strongly concerning	If there's a God then He's calling me back home. This barrel never felt so good next to my dome. It's cold and I'd rather die than live alone.
possibly concerning	Simon will commit suicide today. He told me about it. 
strongly concerning	this fucking world sucks. What if I started to suck my own blood.
possibly concerning	Why all of this shitty things happen? 
strongly concerning	I leave twitter tonight with a tears on my eyes and a very sad heart.
strongly concerning	Fund of reading and watching death related films. 
strongly concerning	My colleagues have deserted me. They fly in out of the country. 
safe to ignore	I think I'm crazy. 
possibly concerning	I'm in a pretty dark place at the moment but it's just that hope that you never know what tomorrow can bring that keeps me going
strongly concerning	"As I close my eyes for the last time, I have the image of holding your hands, your beautiful eyes gazing back at me will forever be engrave in my mind."
strongly concerning	Poison. 
possibly concerning	The pain in my heart gets deeper and deeper. 
strongly concerning	Is there anybody put there that could my cry? 
strongly concerning	Thinking about suicide. 
strongly concerning	I need a psychiatrist who can help me today. 
possibly concerning	Punks ruined my day.
